ticker,month,first_close,last_close,monthly_return_%
HINDALCO,2024-01,610.4,579.35,-5.09
HINDALCO,2024-02,571.25,503.85,-11.8
HINDALCO,2024-03,519.1,560.25,7.93
HINDALCO,2024-04,568.6,644.4,13.33
HINDALCO,2024-05,641.45,689.35,7.47
HINDALCO,2024-06,695.95,693.55,-0.34
HINDALCO,2024-07,689.85,669.6,-2.94
HINDALCO,2024-08,673.5,701.35,4.14
HINDALCO,2024-09,683.9,756.2,10.57
HINDALCO,2024-10,761.55,686.05,-9.91
HINDALCO,2024-11,690.9,652.1,-5.62
HINDUNILVR,2023-10,2468.9,2484.0,0.61
HINDUNILVR,2023-11,2472.25,2545.55,2.96
HINDUNILVR,2023-12,2563.65,2663.95,3.91
HINDUNILVR,2024-01,2654.75,2481.55,-6.52
HINDUNILVR,2024-02,2473.6,2412.3,-2.48
HINDUNILVR,2024-03,2409.7,2264.35,-6.03
HINDUNILVR,2024-04,2285.9,2230.45,-2.43
HINDUNILVR,2024-05,2226.3,2329.05,4.62
HINDUNILVR,2024-06,2355.9,2473.05,4.97
HINDUNILVR,2024-07,2505.1,2705.65,8.01
HINDUNILVR,2024-08,2715.55,2778.0,2.3
HINDUNILVR,2024-09,2789.05,2958.3,6.07
HINDUNILVR,2024-10,2923.75,2528.25,-13.53
HINDUNILVR,2024-11,2537.5,2445.25,-3.64
ICICIBANK,2023-10,940.3,915.35,-2.65
ICICIBANK,2023-11,914.05,934.95,2.29
ICICIBANK,2023-12,946.7,996.6,5.27
ICICIBANK,2024-01,999.4,1028.15,2.88
ICICIBANK,2024-02,1025.15,1052.2,2.64
ICICIBANK,2024-03,1086.9,1093.3,0.59
ICICIBANK,2024-04,1099.65,1150.4,4.62
ICICIBANK,2024-05,1139.45,1121.05,-1.61
ICICIBANK,2024-06,1160.0,1199.6,3.41
ICICIBANK,2024-07,1211.85,1214.9,0.25
ICICIBANK,2024-08,1210.1,1229.2,1.58
ICICIBANK,2024-09,1229.95,1273.0,3.5
ICICIBANK,2024-10,1274.4,1292.25,1.4
ICICIBANK,2024-11,1291.8,1278.05,-1.06
INDUSINDBK,2023-10,1435.4,1441.3,0.41
INDUSINDBK,2023-11,1432.6,1466.1,2.34
INDUSINDBK,2023-12,1461.05,1598.95,9.44
